mo_id,mo_name,region,district,population,elderly_share,admitted_total,discharged,transferred,deaths,letality_pct
МО-А01,Районная больница «Район-А01»,Регион А,Район-А01,91803,0.225,3594,3236,214,144,"4,01"
МО-А02,Районная больница «Район-А02»,Регион А,Район-А02,66645,0.215,2222,2065,74,83,"3,74"
МО-А03,Городская больница «Район-А03»,регион а,Район-А03,71764,0.159,2518,2260,136,122,4.85
МО-А04,Раонная больница «Район-А04»,Регион А,Район-А04,72815,0.196,2527,2277,145,105,4.16
МО-А05,Краевой центр «Район-А05»,Регион А,Район-А05,131572,0.243,5480,5041,202,237,4.32
МО-А06,Районная больница «Район-А06»,Регион А,Район-А06,68063,0.171,3008,2752,108,148,"4,92"
МО-А07,Краевой центр «Район-А07»,Регион А,Район-А07,77480,0.191,2329,2174,69,86,3.69
МО-А08,Районная больница «Район-А08»,Регион А,Район-А08,102827,0.157,4454,4008,267,179,4.02
МО-А09,Городская больница «Район-А09»,регион а,Район-А09,,0.24,3125,2888,112,125,4.0
МО-А10,Городская больница «Район-А10»,Регион А,Район-А10,61694,0.214,3083,2818,117,148,4.8
МО-А11,Городская больница «Район-А11»,Регион А,Район-А11,60791,0.149,2362,2110,138,114,"4,83"
МО-А12,Краевой центр «Район-А12»,Регион А,Район-А12,≈85000,0.229,3584,3250,143,191,"5,33"
МО-Б01,Городская больница «Район-Б01»,регион б,Район-Б01,65955,0.247,2986,2654,87,245,8.2
МО-Б02,Городская больница «Район-Б02»,Регион Б,Район-Б02,79020,0.23,4138,3666,152,320,7.73
МО-Б03,Краевой центр «Район-Б03»,Регион Б,Район-Б03,128599,0.416,4943,4374,-3,338,"6,84"
МО-Б04,Районная больница «Район-Б04»,Регион Б,Район-Б04,80462,0.299,2637,2286,158,193,7.32
МО-Б05,Межрайонный центр «Район-Б05»,Регион Б,Район-Б05,22559,0.261,1327,1170,46,111,8.36
МО-Б06,Краевой центр «Район-Б06»,регион б,Район-Б06,114658,0.244,3623,3199,167,257,7.09
МО-Б07,Краевой центр «Район-Б07»,Регион Б,Район-Б07,153698,0.268,6913,6301,167,445,6.44
МО-Б08,Городская больница «Район-Б08»,Регион Б,Район-Б08,104301,0.336,3962,3520,179,263,66.38
МО-Б09,Районная больница «Район-Б09»,Регион Б,Район-Б09,48464,0.253,2364,2181,47,136,5.75
МО-Б10,Краевой центр «Район-Б10»,регион б,Район-Б10,113229,0.31,5180,4615,192,373,7.2
МО-Б11,Районная больница «Район-Б11»,регион б,Район-Б11,102543,0.273,2235,2040,57,138,6.17
МО-Б12,Городская больница «Район-Б12»,Регион Б,Район-Б12,75207,0.361,2605,2271,145,189,7.26
МО-А08,Районная больница «Район-А08»,Регион А,Район-А08,102827,0.157,4454,4008,267,179,4.02
