mo_id,region,district,year,month,month_idx,population,elderly_share,admitted,discharged,transferred,deaths,letality_pct,vacancy_reanim_pct,vacancy_cardio_pct,vacancy_surgeon_pct,ivl_units,ct_units,angiograph_units,ivl_avg_age_years,time_to_ivl_min
МО-А01,Регион А,Район-А01,2023,январь,1,91803,0.225,655,607,17,31,4.73,11.4,9.1,8.6,5,2,0,6.4,54.1
МО-А01,Регион А,Район-А01,2023,февраль,2,91803,0.225,40,36,2,2,5.0,10.9,6.2,7.7,11,3,1,4.7,46.9
МО-А01,Регион А,Район-А01,2023,март,3,91803,0.225,513,467,26,20,3.9,8.7,5.0,4.8,5,0,2,5.2,46.7
МО-А01,Регион А,Район-А01,2023,апрель,4,91803,0.225,40,38,1,1,2.5,11.4,5.4,8.6,5,2,2,3.9,55.9
МО-А01,Регион А,Район-А01,2023,май,5,91803,0.225,40,38,1,1,2.5,9.8,6.7,6.7,8,1,1,7.4,49.9
МО-А01,Регион А,Район-А01,2023,июнь,6,91803,0.225,40,38,1,1,2.5,9.2,5.2,7.1,6,1,1,5.4,38.4
МО-А01,Регион А,Район-А01,2023,июль,7,91803,0.225,183,169,6,8,4.37,8.9,5.5,5.9,8,3,0,5.7,42.0
МО-А01,Регион А,Район-А01,2023,август,8,91803,0.225,123,116,3,4,3.25,9.5,7.7,7.1,9,0,1,4.4,58.1
МО-А01,Регион А,Район-А01,2023,сентябь,9,91803,0.225,971,913,22,36,3.71,9.8,7.9,5.5,5,2,0,3.5,44.7
МО-А01,Регион А,Район-А01,2023,октябрь,10,91803,0.225,338,312,13,13,3.85,11.1,5.2,5.9,7,1,0,3.4,42.8
МО-А01,Регион А,Район-А01,2023,ноябрь,11,91803,0.225,331,304,16,11,3.32,10.8,5.4,6.0,10,2,2,3.5,50.9
МО-А01,Регион А,Район-А01,2023,декабрь,12,91803,0.225,310,280,16,14,4.52,10.4,9.7,6.8,11,3,0,2.2,42.3
МО-А01,Регион А,Район-А01,2024,январь,1,91803,0.225,40,37,2,1,2.5,10.7,7.2,5.1,7,1,1,4.2,41.4
МО-А01,Регион А,Район-А01,2024,февраль,2,91803,0.225,48,46,1,1,2.08,8.8,6.4,6.5,6,2,1,3.2,36.4
МО-А01,Регион А,Район-А01,2024,март,3,91803,0.225,737,680,26,31,4.21,8.6,6.9,8.3,8,0,0,5.6,37.2
МО-А01,Регион А,Район-А01,2024,апрель,4,91803,0.225,269,246,13,10,3.72,11.1,9.5,5.9,7,1,0,3.1,48.2
МО-А01,Регион А,Район-А01,2024,май,5,91803,0.225,399,372,13,14,3.51,10.4,6.8,4.7,9,1,1,3.7,49.3
МО-А01,Регион А,Район-А01,2024,июнь,6,91803,0.225,40,38,1,1,2.5,8.3,7.1,4.1,8,1,1,2.8,59.4
МО-А01,Регион А,Район-А01,2024,июль,7,91803,0.225,40,37,1,2,5.0,8.1,5.0,6.5,9,2,0,2.4,35.9
МО-А01,Регион А,Район-А01,2024,август,8,91803,0.225,40,38,1,1,2.5,7.9,5.6,4.5,4,1,0,4.4,59.0
МО-А01,Регион А,Район-А01,2024,сентябрь,9,91803,0.225,335,305,16,14,4.18,8.2,8.8,8.6,5,1,1,3.1,58.4
МО-А01,Регион А,Район-А01,2024,октябрь,10,91803,0.225,751,701,17,33,4.39,10.5,7.9,4.4,6,2,0,3.4,48.4
МО-А01,Регион А,Район-А01,2024,ноябрь,11,91803,0.225,1103,1020,40,43,3.9,9.2,7.3,5.5,6,2,0,7.0,61.3
МО-А01,Регион А,Район-А01,2024,декабрь,12,91803,0.225,40,38,1,1,2.5,10.6,9.6,5.2,4,2,0,2.4,51.8
МО-А02,Регион А,Район-А02,2023,январь,1,66645,0.215,190,171,10,9,4.74,5.8,6.5,3.6,5,0,1,3.6,45.0
МО-А02,Регион А,Район-А02,2023,февраль,2,66645,0.215,347,315,18,14,4.03,6.5,6.5,5.2,6,1,1,4.5,43.7
МО-А02,Регион А,Район-А02,2023,март,3,66645,0.215,150,137,7,6,4.0,7.3,5.1,5.5,4,2,1,3.4,39.6
МО-А02,Регион А,Район-А02,2023,апрель,4,66645,0.215,40,38,1,1,2.5,7.6,4.6,5.2,6,1,1,4.6,50.0
МО-А02,Регион А,Район-А02,2023,май,5,66645,0.215,523,487,14,22,4.21,6.1,5.1,5.3,8,3,0,3.7,47.8
МО-А02,Регион А,Район-А02,2023,июнь,6,66645,0.215,304,288,6,10,3.29,7.0,4.4,6.1,8,0,0,6.0,57.0
МО-А02,Регион А,Район-А02,2023,июль,7,66645,0.215,40,38,1,1,2.5,6.7,4.1,2.9,7,2,0,4.5,37.8
МО-А02,Регион А,Район-А02,2023,август,8,66645,0.215,641,603,16,22,3.43,7.1,4.5,6.2,8,3,1,1.8,36.9
МО-А02,Регион А,Район-А02,2023,сентябрь,9,66645,0.215,283,262,10,11,3.89,7.9,6.9,3.8,9,0,0,3.6,27.5
МО-А02,Регион А,Район-А02,2023,октябрь,10,66645,0.215,282,264,7,11,3.9,6.0,3.7,2.8,8,0,1,3.6,49.6
МО-А02,Регион А,Район-А02,2023,ноябрь,11,66645,0.215,83,77,3,3,3.61,8.1,6.2,4.9,4,0,0,2.2,51.7
МО-А02,Регион А,Район-А02,2023,декабрь,12,66645,0.215,40,39,0,1,2.5,6.0,4.5,5.3,3,1,0,5.5,52.6
МО-А02,Регион А,Район-А02,2024,январь,1,66645,0.215,40,38,1,1,2.5,5.7,3.6,4.3,2,1,1,7.1,54.7
МО-А02,Регион А,Район-А02,2024,февраль,2,66645,0.215,446,398,26,22,4.93,7.4,4.4,2.9,4,1,0,1.9,31.6
МО-А02,Регион А,Район-А02,2024,март,3,66645,0.215,406,374,16,16,3.94,5.8,4.7,3.9,9,0,0,2.7,54.5
МО-А02,Регион А,Район-А02,2024,апрель,4,66645,0.215,40,38,1,1,2.5,6.8,4.5,3.9,11,2,0,-0.6,43.0
МО-А02,Регион А,Район-А02,2024,май,5,66645,0.215,40,38,1,1,2.5,6.5,6.1,4.9,5,1,0,0.6,39.2
МО-А02,Регион А,Район-А02,2024,июнь,6,66645,0.215,40,37,2,1,2.5,7.2,4.3,3.3,8,0,0,7.8,59.6
МО-А02,Регион А,Район-А02,2024,июль,7,66645,0.215,538,489,28,21,3.9,6.9,5.9,4.5,6,1,2,5.0,44.6
МО-А02,Регион А,Район-А02,2024,август,8,66645,0.215,40,38,1,1,2.5,8.0,6.4,3.7,6,2,0,5.5,43.2
МО-А02,Регион А,Район-А02,2024,сентябрь,9,66645,0.215,338,312,14,12,3.55,8.3,5.1,3.3,5,0,0,2.1,44.2
МО-А02,Регион А,Район-А02,2024,октябрь,10,66645,0.215,40,38,1,0,0.0,7.1,4.3,5.4,7,3,1,3.1,31.6
МО-А02,Регион А,Район-А02,2024,ноябрь,11,66645,0.215,40,37,2,1,2.5,6.9,3.6,4.5,9,0,0,5.0,39.2
МО-А02,Регион А,Район-А02,2024,декабрь,12,66645,0.215,40,38,1,1,2.5,7.3,4.0,4.4,6,2,0,3.1,35.1
МО-А03,Регион А,Район-А03,2023,январь,1,71764,0.159,658,599,23,36,5.47,7.5,7.0,6.3,4,2,0,5.2,51.0
МО-А03,Регион А,Район-А03,2023,февраль,2,71764,0.159,1328,1208,49,71,5.35,6.8,6.6,6.8,4,0,1,3.7,43.8
МО-А03,Регион А,Район-А03,2023,март,3,71764,0.159,324,303,8,13,4.01,8.2,6.4,6.5,6,2,1,4.7,39.2
МО-А03,Регион А,Район-А03,2023,апрель,4,71764,0.159,284,263,10,11,3.87,7.3,5.1,3.3,12,2,0,2.9,41.7
МО-А03,Регион А,Район-А03,2023,май,5,71764,0.159,40,38,1,1,2.5,7.9,5.1,6.7,8,2,1,2.2,47.5
МО-А03,Регион А,Район-А03,2023,июнь,6,71764,0.159,40,37,1,2,5.0,9.7,6.7,4.4,6,0,0,3.3,47.0
МО-А03,Регион А,Район-А03,2023,июль,7,71764,0.159,40,37,1,2,5.0,9.1,6.5,4.7,6,1,0,2.2,37.2
МО-А03,Регион А,Район-А03,2023,август,8,71764,0.159,40,37,2,1,2.5,8.6,5.3,5.0,4,0,0,4.3,51.5
МО-А03,Регион А,Район-А03,2023,сентябрь,9,71764,0.159,235,217,9,9,3.83,9.6,6.2,7.0,6,2,0,4.1,41.2
МО-А03,Регион А,Район-А03,2023,октябрь,10,71764,0.159,445,417,10,18,4.04,9.6,4.6,7.2,4,3,0,7.2,46.8
МО-А03,Регион А,Район-А03,2023,ноябрь,11,71764,0.159,354,330,7,17,4.8,8.2,5.9,6.0,6,1,0,4.9,30.2
МО-А03,Регион А,Район-А03,2023,декабрь,12,71764,0.159,442,399,24,19,4.3,8.3,7.8,4.1,8,3,1,4.4,43.8
МО-А03,Регион А,Район-А03,2024,январь,1,71764,0.159,74,68,2,4,5.41,8.1,4.5,6.8,8,2,1,2.1,4.0
МО-А03,Регион А,Район-А03,2024,февраль,2,71764,0.159,591,545,15,31,5.25,7.8,4.5,5.2,7,0,1,4.7,48.3
МО-А03,Регион А,Район-А03,2024,март,3,71764,0.159,40,39,0,1,2.5,8.7,6.3,7.2,9,1,1,3.6,51.8
МО-А03,Регион А,Район-А03,2024,апрель,4,71764,0.159,467,425,21,21,4.5,8.4,4.1,6.4,6,2,1,2.8,46.4
МО-А03,Регион А,Район-А03,2024,май,5,71764,0.159,262,238,14,10,3.82,7.6,4.7,6.9,6,3,1,3.8,49.7
МО-А03,Регион А,Район-А03,2024,июнь,6,71764,0.159,238,222,5,11,4.62,6.5,7.3,4.2,9,1,1,5.6,49.0
МО-А03,Регион А,Район-А03,2024,июль,7,71764,0.159,40,37,2,1,2.5,8.2,4.5,5.3,7,2,0,3.9,31.6
МО-А03,Регион А,Район-А03,2024,август,8,71764,0.159,40,38,0,2,5.0,8.0,5.7,6.0,7,0,1,3.8,48.5
МО-А03,Регион А,Район-А03,2024,сентябрь,9,71764,0.159,136,125,6,5,3.68,8.3,5.4,7.3,7,0,0,2.7,45.2
МО-А03,Регион А,Район-А03,2024,октябрь,10,71764,0.159,40,37,2,1,2.5,8.8,4.9,5.1,4,2,1,1.8,50.6
МО-А03,Регион А,Район-А03,2024,ноябрь,11,71764,0.159,552,508,19,25,4.53,7.0,7.8,3.5,9,2,0,5.3,53.0
МО-А03,Регион А,Район-А03,2024,декабрь,12,71764,0.159,412,374,17,21,5.1,7.6,4.6,4.7,5,1,0,4.9,37.0
