mo_id,region,district,year,month,month_idx,population,elderly_share,admitted,discharged,transferred,deaths,letality_pct_fact,letality_pct_plan,vacancy_reanim_pct,vacancy_cardio_pct,vacancy_surgeon_pct,ivl_units,ct_units,angiograph_units,ivl_avg_age_years,time_to_ivl_min,federal_project
МО-А01,Регион А,Район-А01,2022,январь,1,91803,0.225,74,69,1,4,5.41,,11.1,5.7,7.7,7,1,1,3.6,48.3,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2022,февраль,2,91803,0.225,40,38,1,1,2.5,,8.3,8.1,7.9,7,0,0,5.3,41.4,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2022,март,3,91803,0.225,40,37,1,2,5.0,,9.5,6.9,4.1,6,1,1,4.4,61.3,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2022,апрель,4,91803,0.225,607,559,19,29,4.78,,9.5,9.3,6.2,9,2,1,6.3,40.5,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2022,май,5,91803,0.225,40,39,0,1,2.5,,8.2,6.9,4.3,6,1,0,4.0,53.4,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2022,июнь,6,91803,0.225,779,722,21,36,4.62,,8.5,6.8,4.3,8,2,0,2.6,43.2,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2022,июль,7,91803,0.225,40,36,2,2,5.0,,8.5,5.8,7.5,4,0,0,5.4,53.9,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2022,август,8,91803,0.225,534,486,25,23,4.31,,11.2,9.6,6.8,7,0,1,5.4,50.6,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2022,сентябрь,9,91803,0.225,40,38,1,1,2.5,,7.8,5.4,4.0,4,3,0,4.5,57.9,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2022,октябрь,10,91803,0.225,40,37,1,2,5.0,,8.9,7.1,6.2,5,2,1,5.3,58.5,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2022,ноябрь,11,91803,0.225,811,749,22,40,4.93,,10.0,8.9,4.1,6,3,1,3.0,28.3,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2022,декабрь,12,91803,0.225,741,683,23,35,4.72,,9.7,7.2,6.8,4,0,0,4.7,41.1,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2023,январь,1,91803,0.225,180,167,5,8,4.44,3.99,11.3,6.9,6.2,4,0,1,2.7,62.1,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2023,февраль,2,91803,0.225,681,631,22,28,4.11,4.04,8.6,9.3,5.5,7,0,0,3.5,44.4,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2023,март,3,91803,0.225,111,101,5,5,4.5,4.16,10.6,8.7,7.8,10,2,0,3.5,63.9,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2023,апрель,4,91803,0.225,185,170,8,7,3.78,4.0,9.4,9.7,5.4,6,1,1,7.1,51.0,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2023,май,5,91803,0.225,137,124,7,6,4.38,3.98,8.0,7.0,6.9,8,2,1,3.9,54.3,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2023,июнь,6,91803,0.225,218,202,6,10,4.59,4.01,10.5,7.4,7.1,7,1,0,2.5,54.1,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2023,июль,7,91803,0.225,427,392,18,17,3.98,4.2,11.5,8.9,4.1,6,2,1,6.3,39.5,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2023,август,8,91803,0.225,516,475,20,21,4.07,4.18,8.2,8.0,5.5,8,3,1,2.5,50.4,Развитие здравоохранения
МО-А01,Регион А,Район-А01,2023,сентябрь,9,91803,0.225,347,321,11,15,4.32,4.12,8.1,6.7,7.6,5,0,1,5.4,58.1,Развитие здравоохранения
